City,Barcelona,Belgrade,Berlin,Brussels,Bucharest,Budapest,Copenhagen,Dublin,Hamburg,Istanbul,Kiev,London,Madrid,Milan,Moscow,Munich,Paris,Prague,Rome,Saint Petersburg,Sofia,Stockholm,Vienna,Warsaw,Beijing,Shanghai,Guangzhou,Shenzhen,Hong Kong
Barcelona,0,7013.219963,5731.681634,3929.182709,13504.55184,5883.741729,7030.965783,9554.870222,11363.0031,7646.708079,11618.03845,13815.79332,7575.504709,12262.67743,17975.62776,13385.57851,11904.03414,15330.03131,18227.59853,18289.70861,18422.29824,18523.22088,18609.45119,20408.15103,18710.14595,20441.65158,20339.16648,29669.89475,14386.75136
Belgrade,7013.219963,0,11704.40218,9642.040625,7717.705539,8104.59589,12727.00116,6499.367981,7000.977287,12956.73976,17300.64318,19498.39805,9820.990899,7824.104463,12585.87499,9714.362649,15881.96199,20378.94966,23276.51687,14754.12404,19470.83845,19550.04392,22171.67809,24914.46003,22282.43281,23770.59968,23911.45334,34287.98582,18208.44144
Berlin,5731.681634,11704.40218,0,3776.116899,16156.30521,7616.024304,3490.479837,11834.63171,13642.76459,4612.105686,6533.249062,8667.881108,9157.655655,14542.43892,20255.38925,15089.25458,11033.48817,11116.87505,14014.44226,19319.60161,19075.74126,19178.07158,17707.44618,16717.95402,17801.44806,19539.64657,19430.4686,25979.69774,13478.05347
Brussels,3929.182709,9642.040625,3776.116899,0,12926.20045,4107.761745,3577.401533,8326.369156,10134.50203,4193.143829,8164.474196,10362.22907,5518.224047,11034.17636,16747.12669,11842.25379,8479.909266,11827.72328,14725.2905,16160.18839,15916.32804,16018.65835,15185.32632,16844.36611,15286.02108,17017.52671,16915.04161,26106.10984,10962.62648
Bucharest,13504.55184,7717.705539,16156.30521,12926.20045,0,9031.744536,13729.75344,6525.791836,4611.657214,13885.25004,18303.39547,20501.15034,10445.56074,5111.21517,5321.257138,9198.361997,16281.34654,21307.45994,24205.02716,13598.13795,19561.30867,19640.51413,22467.7696,25210.55155,22578.52432,23861.0699,24207.54485,34584.07734,18504.53296
Budapest,5883.741729,8104.59589,7616.024304,4107.761745,9031.744536,0,4758.651239,4279.249744,6087.382616,4914.147838,9332.293263,11530.04813,1834.723252,6987.056951,12700.00728,8103.547091,7839.370071,12336.35774,15233.92495,12900.67847,12681.51679,12782.43942,14544.78712,17273.81517,14645.48188,16376.98751,16274.50241,26564.66851,10322.08729
Copenhagen,7030.965783,12727.00116,3490.479837,3577.401533,13729.75344,4758.651239,0,8977.25865,10785.39152,1331.973047,4659.649532,6857.404404,6169.113541,11685.06586,17398.01619,11809.12194,7753.355535,8604.931694,11502.49891,16039.46897,15795.60863,15897.93894,14427.31354,13799.38793,14521.31543,16259.51393,16150.33596,23061.13165,10197.92083
Dublin,9554.870222,6499.367981,11834.63171,8326.369156,6525.791836,4279.249744,8977.25865,0,2010.713487,8418.112283,12925.81676,15123.57164,4049.234762,2837.257474,8623.338153,4132.417611,10062.43176,15540.73796,18438.30518,9172.179007,13495.2976,13574.50307,16248.85482,18991.63676,16359.60954,17795.05883,17988.63007,28365.16255,12285.61817
Hamburg,11363.0031,7000.977287,13642.76459,10134.50203,4611.657214,6087.382616,10785.39152,2010.713487,0,10365.99437,14873.69885,17071.45372,5979.2514,1042.443275,6709.203531,4997.075216,11771.84458,17488.62005,20386.18726,10036.83661,15051.80671,15131.01217,17958.26764,20701.04959,18069.02236,19351.56794,19698.04289,30074.57538,13995.03099
Istanbul,7646.708079,12956.73976,4612.105686,4193.143829,13885.25004,4914.147838,1331.973047,8418.112283,10365.99437,0,4578.551517,6776.306389,5080.21859,10787.19305,16827.87852,10715.241,6659.474591,8072.098671,10969.66588,14945.58803,14701.72768,14804.05799,13333.4326,13188.323,13427.43448,15165.63299,15056.45501,22450.06672,9104.039887
Kiev,11618.03845,17300.64318,6533.249062,8164.474196,18303.39547,9332.293263,4659.649532,12925.81676,14873.69885,4578.551517,0,2257.991643,9409.538736,15116.5132,21157.19866,14842.34477,9870.909784,5775.524894,8486.624684,19072.6918,18626.38019,18728.7105,15840.14583,13494.18428,15918.63567,17519.73618,17399.34511,22755.928,12214.18739
London,13815.79332,19498.39805,8667.881108,10362.22907,20501.15034,11530.04813,6857.404404,15123.57164,17071.45372,6776.306389,2257.991643,0,11607.29361,17314.26807,23354.95354,17040.09964,12033.56132,6586.797092,6537.534555,21270.44667,20577.8081,20680.13841,17680.11671,15334.15516,17758.60656,19359.70706,19239.31599,24595.89889,14376.83892
Madrid,7575.504709,9820.990899,9157.655655,5518.224047,10445.56074,1834.723252,6169.113541,4049.234762,5979.2514,5080.21859,9409.538736,11607.29361,0,5738.919823,11779.60529,6369.857248,6456.114005,11541.73646,14439.30368,11148.956,10921.6779,11024.00822,13161.53106,15892.86545,13264.53216,14993.73145,14893.55269,25270.08518,8941.137566
Milan,12262.67743,7824.104463,14542.43892,11034.17636,5111.21517,6987.056951,11685.06586,2837.257474,1042.443275,10787.19305,15116.5132,17314.26807,5738.919823,0,6261.077087,4277.904924,11374.37433,17248.71093,20146.27814,9070.434656,14654.33645,14733.54192,17560.79739,20303.57933,17671.55211,18954.09769,19300.57264,29677.10512,13597.56074
Moscow,17975.62776,12585.87499,20255.38925,16747.12669,5321.257138,12700.00728,17398.01619,8623.338153,6709.203531,16827.87852,21157.19866,23354.95354,11779.60529,6261.077087,0,7891.046766,15169.88516,22102.32757,25276.75394,11068.76674,17352.25281,17430.63431,20392.83947,23436.59127,20737.04024,21335.84422,21826.94605,32218.0439,17208.02214
Munich,13385.57851,9714.362649,15089.25458,11842.25379,9198.361997,8103.547091,11809.12194,4132.417611,4997.075216,10715.241,14842.34477,17040.09964,6369.857248,4277.904924,7891.046766,0,7834.923021,14282.04014,17456.4665,5598.035704,10938.13317,11017.33863,13933.01649,16675.79843,14043.7712,15237.8944,15672.79174,26049.32422,10011.05668
Paris,11904.03414,15881.96199,11033.48817,8479.909266,16281.34654,7839.370071,7753.355535,10062.43176,11771.84458,6659.474591,9870.909784,12033.56132,6456.114005,11374.37433,15169.88516,7834.923021,0,7521.79581,10979.24792,9634.959821,8925.760993,9028.091305,6752.797243,9492.806736,6863.551961,8584.997631,8492.572492,18869.10498,2541.078851
Prague,15330.03131,20378.94966,11116.87505,11827.72328,21307.45994,12336.35774,8604.931694,15540.73796,17488.62005,8072.098671,5775.524894,6586.797092,11541.73646,17248.71093,22102.32757,14282.04014,7521.79581,0,3592.725312,15858.53173,14313.46458,14415.79489,11415.77319,9069.811639,11494.26303,13095.36354,12974.97247,18331.55536,9832.04779
Rome,18227.59853,23276.51687,14014.44226,14725.2905,24205.02716,15233.92495,11502.49891,18438.30518,20386.18726,10969.66588,8486.624684,6537.534555,14439.30368,20146.27814,25276.75394,17456.4665,10979.24792,3592.725312,0,19253.96827,17235.24438,17337.57469,14333.65416,11828.21239,14412.144,16013.24451,15892.85344,20944.85621,13289.4999
Saint Petersburg,18289.70861,14754.12404,19319.60161,16160.18839,13598.13795,12900.67847,16039.46897,9172.179007,10036.83661,14945.58803,19072.6918,21270.44667,11148.956,9070.434656,11068.76674,5598.035704,9634.959821,15858.53173,19253.96827,0,6418.867889,6498.073355,9668.174875,12413.49759,9778.929594,10704.79608,11195.89792,21586.99577,8561.528233
Sofia,18422.29824,19470.83845,19075.74126,15916.32804,19561.30867,12681.51679,15795.60863,13495.2976,15051.80671,14701.72768,18626.38019,20577.8081,10921.6779,14654.33645,17352.25281,10938.13317,8925.760993,14313.46458,17235.24438,6418.867889,0,663.7620873,3352.022947,6395.774742,3696.223715,4299.761235,4790.86307,15181.96092,7229.631857
Stockholm,18523.22088,19550.04392,19178.07158,16018.65835,19640.51413,12782.43942,15897.93894,13574.50307,15131.01217,14804.05799,18728.7105,20680.13841,11024.00822,14733.54192,17430.63431,11017.33863,9028.091305,14415.79489,17337.57469,6498.073355,663.7620873,0,3455.085724,6498.837518,3799.286491,4402.824011,4893.925846,15285.0237,7331.962169
Vienna,18609.45119,22171.67809,17707.44618,15185.32632,22467.7696,14544.78712,14427.31354,16248.85482,17958.26764,13333.4326,15840.14583,17680.11671,13161.53106,17560.79739,20392.83947,13933.01649,6752.797243,11415.77319,14333.65416,9668.174875,3352.022947,3455.085724,0,3074.789593,406.2836801,2127.72935,2035.304211,12411.83669,5042.212774
Warsaw,20408.15103,24914.46003,16717.95402,16844.36611,25210.55155,17273.81517,13799.38793,18991.63676,20701.04959,13188.323,13494.18428,15334.15516,15892.86545,20303.57933,23436.59127,16675.79843,9492.806736,9069.811639,11828.21239,12413.49759,6395.774742,6498.837518,3074.789593,0,3063.189114,4363.931969,4170.539487,10263.78896,7764.547949
Beijing,18710.14595,22282.43281,17801.44806,15286.02108,22578.52432,14645.48188,14521.31543,16359.60954,18069.02236,13427.43448,15918.63567,17758.60656,13264.53216,17671.55211,20737.04024,14043.7712,6863.551961,11494.26303,14412.144,9778.929594,3696.223715,3799.286491,406.2836801,3063.189114,0,1749.411602,1629.02053,12005.55301,5136.214659
Shanghai,20441.65158,23770.59968,19539.64657,17017.52671,23861.0699,16376.98751,16259.51393,17795.05883,19351.56794,15165.63299,17519.73618,19359.70706,14993.73145,18954.09769,21335.84422,15237.8944,8584.997631,13095.36354,16013.24451,10704.79608,4299.761235,4402.824011,2127.72935,4363.931969,1749.411602,0,610.7036994,11001.80155,6874.413163
Guangzhou,20339.16648,23911.45334,19430.4686,16915.04161,24207.54485,16274.50241,16150.33596,17988.63007,19698.04289,15056.45501,17399.34511,19239.31599,14893.55269,19300.57264,21826.94605,15672.79174,8492.572492,12974.97247,15892.85344,11195.89792,4790.86307,4893.925846,2035.304211,4170.539487,1629.02053,610.7036994,0,10658.04151,6765.235189
Shenzhen,29669.89475,34287.98582,25979.69774,26106.10984,34584.07734,26564.66851,23061.13165,28365.16255,30074.57538,22450.06672,22755.928,24595.89889,25270.08518,29677.10512,32218.0439,26049.32422,18869.10498,18331.55536,20944.85621,21586.99577,15181.96092,15285.0237,12411.83669,10263.78896,12005.55301,11001.80155,10658.04151,0,17141.76767
Hong Kong,14386.75136,18208.44144,13478.05347,10962.62648,18504.53296,10322.08729,10197.92083,12285.61817,13995.03099,9104.039887,12214.18739,14376.83892,8941.137566,13597.56074,17208.02214,10011.05668,2541.078851,9832.04779,13289.4999,8561.528233,7229.631857,7331.962169,5042.212774,7764.547949,5136.214659,6874.413163,6765.235189,17141.76767,0